participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,0,112,1.0,1.0
13,88,88,123,0.2845528455284553,0.2845528455284553
14,0,0,119,1.0,1.0
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,29,76,116,0.75,0.3448275862068966
18,0,11,122,1.0,0.9098360655737705
19,0,84,168,1.0,0.5
20,13,57,168,0.9226190476190477,0.6607142857142857
21,84,84,168,0.5,0.5
22,0,0,119,1.0,1.0
23,0,0,168,1.0,1.0
24,42,84,112,0.625,0.25
25,0,35,119,1.0,0.7058823529411764
26,0,0,168,1.0,1.0
27,0,74,168,1.0,0.5595238095238095
28,55,90,119,0.5378151260504201,0.24369747899159666
30,107,0,168,0.36309523809523814,1.0
31,0,38,112,1.0,0.6607142857142857
32,99,0,112,0.1160714285714286,1.0
33,97,28,112,0.1339285714285714,0.75
34,116,98,167,0.3053892215568862,0.4131736526946108
36,84,83,119,0.2941176470588235,0.3025210084033614
37,0,0,168,1.0,1.0
38,0,0,112,1.0,1.0
39,0,85,168,1.0,0.49404761904761907
