Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
10,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
11,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
13,0,62,61,0,0.5040650406504065,0.5,0.25203252032520324,0.33513513513513515,,0,53,70,0,0.43089430894308944,0.5,0.21544715447154472,0.30113636363636365,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
16,0,112,0,0,1.0,0.5,0.5,0.5,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.2821003401360544
17,0,84,32,0,0.7241379310344828,0.5,0.3620689655172414,0.42000000000000004,,96,0,0,20,0.8275862068965517,0.5,0.41379310344827586,0.4528301886792453,
18,0,122,0,0,1.0,0.5,0.5,0.5,,0,105,17,0,0.860655737704918,0.5,0.430327868852459,0.46255506607929514,
19,0,168,0,0,1.0,0.5,0.5,0.5,,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.8703939909297053
20,160,0,0,8,0.9523809523809523,0.5,0.47619047619047616,0.4878048780487805,,59,61,23,25,0.7142857142857143,0.7144072603516733,0.7142857142857142,0.7142452161587527,0.7566609977324265
21,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.8244047619047619,0,84,0,84,0.5,0.25,0.5,0.3333333333333333,0.4230442176870748
22,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
23,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
24,55,22,6,29,0.6875,0.6665059466409515,0.7202380952380952,0.6577913574858141,0.7529761904761905,0,28,0,84,0.25,0.125,0.5,0.2,0.7636054421768708
25,0,119,0,0,1.0,0.5,0.5,0.5,,84,0,35,0,0.7058823529411765,0.35294117647058826,0.5,0.41379310344827586,0.036734693877551
26,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
27,0,168,0,0,1.0,0.5,0.5,0.5,,35,69,15,49,0.6190476190476191,0.6423728813559322,0.6190476190476191,0.6027781882665879,0.690051020408163
28,58,30,5,26,0.7394957983193278,0.7281746031746031,0.7738095238095237,0.7242281527995813,0.8812925170068027,19,27,8,65,0.3865546218487395,0.49859098228663445,0.4988095238095238,0.38376959636802155,0.5040816326530613
30,0,30,138,0,0.17857142857142858,0.5,0.08928571428571429,0.15151515151515152,,0,168,0,0,1.0,0.5,0.5,0.5,
31,0,112,0,0,1.0,0.5,0.5,0.5,,0,42,42,28,0.375,0.3,0.25,0.2727272727272727,0.026785714285714284
32,0,19,93,0,0.16964285714285715,0.5,0.08482142857142858,0.1450381679389313,,0,112,0,0,1.0,0.5,0.5,0.5,
33,0,17,95,0,0.15178571428571427,0.5,0.07589285714285714,0.13178294573643412,,0,84,0,28,0.75,0.375,0.5,0.42857142857142855,0.6105442176870748
34,25,29,54,59,0.32335329341317365,0.32300057537399307,0.3235083189902467,0.3229648764036882,0.23809523809523808,0,40,127,0,0.23952095808383234,0.5,0.11976047904191617,0.19323671497584538,
36,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.2602040816326531,0,35,84,0,0.29411764705882354,0.5,0.14705882352941177,0.22727272727272727,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,168,0,0,1.0,0.5,0.5,0.5,
38,0,112,0,0,1.0,0.5,0.5,0.5,,0,112,0,0,1.0,0.5,0.5,0.5,
39,0,168,0,0,1.0,0.5,0.5,0.5,,72,9,75,12,0.48214285714285715,0.4591836734693877,0.4821428571428571,0.3974025974025974,0.225907029478458
