participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
2,84,80,168,0.5,0.5238095238095238
5,78,0,168,0.5357142857142857,1.0
8,145,17,168,0.13690476190476186,0.8988095238095238
9,44,81,128,0.65625,0.3671875
10,0,0,112,1.0,1.0
11,0,0,112,1.0,1.0
12,0,6,112,1.0,0.9464285714285714
13,58,61,123,0.5284552845528455,0.5040650406504066
14,0,21,119,1.0,0.8235294117647058
15,0,0,119,1.0,1.0
16,0,28,112,1.0,0.75
17,8,2,116,0.9310344827586207,0.9827586206896551
18,0,42,122,1.0,0.6557377049180328
19,0,37,112,1.0,0.6696428571428572
20,100,82,168,0.40476190476190477,0.5119047619047619
21,133,84,168,0.20833333333333337,0.5
22,0,4,119,1.0,0.9663865546218487
23,0,92,168,1.0,0.45238095238095233
24,0,84,112,1.0,0.25
25,4,44,119,0.9663865546218487,0.6302521008403361
26,0,24,168,1.0,0.8571428571428572
27,0,64,168,1.0,0.6190476190476191
28,6,62,119,0.9495798319327731,0.4789915966386554
29,0,47,110,1.0,0.5727272727272728
30,2,3,168,0.9880952380952381,0.9821428571428571
31,0,45,111,1.0,0.5945945945945945
32,74,0,112,0.3392857142857143,1.0
33,83,28,112,0.2589285714285714,0.75
34,89,69,168,0.47023809523809523,0.5892857142857143
35,1,38,119,0.9915966386554622,0.680672268907563
36,84,84,119,0.2941176470588235,0.2941176470588235
37,2,39,168,0.9880952380952381,0.7678571428571428
38,0,0,110,1.0,1.0
39,0,86,168,1.0,0.48809523809523814
